fecha,codigo_producto,unidades_vendidas,monto_total,num_facturas
2023-05-12,17501,1.0,45.69,1
2023-05-12,17504,2.0,89.83,1
2023-05-12,17700,2.0,123.9,1
2023-05-12,20002,2.0,65.57,1
2023-05-12,44022,4.0,281.88,1
2023-05-12,4708,2.0,38.72,1
2023-05-12,7715,1.0,39.5,1
2023-05-12,8202,2.0,45.95,1
2023-05-12,8203,1.0,22.97,1
2023-05-12,8205,3.0,68.92,1
2023-05-12,8206,2.0,45.95,1
2023-05-15,15034,2.0,119.26,1
2023-05-15,17222,2.0,117.71,1
2023-05-15,2621,1.0,44.53,1
2023-05-15,8205,1.0,22.97,1
2023-05-26,12100,1.0,16.52,1
2023-05-26,44022,3.0,211.42,1
2023-05-26,8202,1.0,22.97,1
2023-06-06,12136,1.3,80.53999999999999,1
2023-06-06,8206,3.0,81.09,1
2023-06-12,12130,1.0,61.96,1
2023-06-12,12134,1.0,61.96,1
2023-06-12,12136,2.0,123.9,1
2023-06-12,15030,1.0,72.88,1
2023-06-12,15032,2.0,147.6,2
2023-06-12,15034,1.0,70.15,1
2023-06-12,17222,2.0,138.48,2
2023-06-12,17322,3.0,213.18,2
2023-06-12,17400,4.0,310.97,3
2023-06-12,17504,4.0,211.36,3
2023-06-12,17507,1.0,50.11,1
2023-06-12,17700,1.0,72.88,1
2023-06-12,2621,1.0,52.39,1
2023-06-12,2721,1.0,41.3,1
2023-06-12,4616,7.0,201.95999999999998,2
2023-06-12,4620,4.0,66.81,1
2023-06-12,8202,2.0,54.05,1
2023-06-12,8203,1.0,27.03,1
2023-06-12,8206,2.0,54.05,1
2023-06-12,8222,2.0,99.62,2
2023-06-13,17507,1.0,50.11,1
2023-06-13,3527,1.0,37.96,1
2023-06-14,10752,1.0,43.0,1
2023-06-14,12100,1.0,19.43,1
2023-06-14,12130,3.0,185.86,2
2023-06-14,12134,4.0,247.82,3
2023-06-14,12136,3.0,185.88,3
2023-06-14,15030,1.0,72.88,1
2023-06-14,15032,2.0,147.6,2
2023-06-14,15034,1.0,70.15,1
2023-06-14,17114,1.0,70.46,1
2023-06-14,17222,2.0,138.48,2
2023-06-14,17322,1.0,71.06,1
2023-06-14,17400,3.0,233.21999999999997,3
2023-06-14,17507,3.0,150.32999999999998,2
2023-06-14,17700,1.0,72.88,1
2023-06-14,17704,2.0,148.2,2
2023-06-14,3527,2.0,75.92,1
2023-06-14,44022,2.0,165.81,1
2023-06-14,4500,2.0,69.24,1
2023-06-14,4620,1.0,16.7,1
2023-06-14,8202,2.0,54.05,1
2023-06-14,8203,2.0,54.06,2
2023-06-14,8206,1.0,27.03,1
2023-06-14,8215,1.0,20.34,1
2023-06-14,8216,1.0,20.34,1
2023-06-14,8222,2.0,49.940000000000005,2
2023-06-14,9302,1.0,29.76,1
2023-06-15,12130,1.0,61.96,1
2023-06-15,12134,1.0,61.96,1
2023-06-15,12136,1.0,61.96,1
2023-06-15,15030,1.0,72.88,1
2023-06-15,15032,1.0,73.8,1
2023-06-15,15034,1.0,70.15,1
2023-06-15,17222,1.0,69.24,1
2023-06-15,17322,1.0,71.06,1
2023-06-15,17400,1.0,77.74,1
2023-06-15,17507,1.0,50.11,1
2023-06-15,17704,2.0,148.2,1
2023-06-15,2721,1.0,41.3,1
2023-06-17,12130,2.0,123.9,1
2023-06-17,12132,1.0,61.96,1
2023-06-17,12134,2.0,123.9,1
2023-06-17,12136,3.0,185.86,1
2023-06-17,14218,2.0,113.88,1
2023-06-17,15030,1.0,72.88,1
2023-06-17,15032,3.0,221.39,1
2023-06-17,15034,2.0,140.31,1
2023-06-17,17222,3.0,207.73,1
2023-06-17,17322,2.0,142.12,1
2023-06-17,17400,3.0,233.24,1
2023-06-17,17504,3.0,158.53,1
2023-06-17,17507,2.0,100.22,1
2023-06-17,18101,1.0,78.35,1
2023-06-17,44022,2.0,165.81,1
2023-06-17,4502,1.0,46.47,1
2023-06-17,45225,1.0,52.24,1
2023-06-17,4616,6.0,173.11,1
2023-06-17,4620,2.0,33.41,1
2023-06-17,8205,4.0,108.1,1
2023-06-17,8212,3.0,61.04,1
2023-06-17,8213,3.0,61.04,1
2023-06-17,8215,3.0,61.04,1
2023-06-17,8216,3.0,61.04,1
2023-06-17,8222,1.0,49.81,1
2023-06-19,12134,1.0,61.96,1
2023-06-19,12136,1.0,61.96,1
2023-06-19,14218,1.0,56.94,1
2023-06-19,17322,2.0,142.12,2
2023-06-19,17400,1.0,77.74,1
2023-06-19,17504,2.0,105.68,1
2023-06-19,17507,2.0,100.22,1
2023-06-19,44022,2.0,165.81,1
2023-06-19,4616,2.0,57.7,1
2023-06-19,8202,2.0,54.06,2
2023-06-19,8203,1.0,27.03,1
2023-06-19,8206,2.0,54.06,2
2023-06-19,8212,1.0,20.34,1
2023-06-19,8213,1.0,20.34,1
2023-06-19,8216,1.0,20.34,1
2023-06-20,17507,1.0,50.11,1
2023-06-20,26004,5.0,20.5,1
2023-06-20,26008,4.0,16.4,1
2023-06-20,26009,5.0,20.5,1
2023-06-20,26010,1.0,4.1,1
2023-06-20,26111,2.0,9.12,1
2023-06-20,26124,5.0,22.78,1
2023-06-22,12136,3.0,185.86,1
2023-06-22,14218,3.0,170.82,1
2023-06-22,15030,2.0,145.76,2
2023-06-22,15032,4.0,295.19,3
2023-06-22,15034,2.0,140.3,2
2023-06-22,17222,4.0,276.97,3
2023-06-22,17322,5.0,355.3,3
2023-06-22,17400,3.0,233.23000000000002,2
2023-06-22,17504,4.0,211.36,2
2023-06-22,17507,5.0,250.55,2
2023-06-22,26004,20.0,82.0,1
2023-06-22,26009,4.0,16.4,1
2023-06-22,26101,2.0,9.12,1
2023-06-22,45117,1.0,91.11,1
2023-06-22,45120,1.0,91.11,1
2023-06-22,4616,4.0,115.4,2
2023-06-22,4620,1.0,16.7,1
2023-06-22,8168,1.0,14.57,1
2023-06-22,8170,1.0,17.61,1
2023-06-22,8203,2.0,54.05,1
2023-06-22,8205,2.0,54.05,1
2023-06-23,12100,1.0,19.43,1
2023-06-23,12130,2.0,123.9,1
2023-06-23,12134,2.0,123.9,1
2023-06-23,12136,1.0,61.96,1
2023-06-23,15030,1.0,72.88,1
2023-06-23,17322,1.0,71.06,1
2023-06-23,17400,2.0,155.49,1
2023-06-23,17501,1.0,53.75,1
2023-06-23,17504,3.0,158.52,2
2023-06-23,17507,4.0,200.44,2
2023-06-23,21008,4.0,75.32,1
2023-06-23,44022,1.0,82.91,1
2023-06-23,44060,1.0,72.88,1
2023-06-23,4706,1.0,38.57,1
2023-06-23,7716,1.0,46.47,1
2023-06-23,8202,1.0,27.03,1
2023-06-23,8203,1.0,27.03,1
2023-06-23,8205,1.0,27.03,1
2023-06-23,9302,1.0,29.76,1
2023-06-26,12130,1.0,61.96,1
2023-06-26,12136,1.0,61.96,1
2023-06-26,17400,1.0,77.74,1
2023-06-26,17504,1.0,52.84,1
2023-06-26,17507,1.0,50.11,1
2023-06-26,44022,2.0,165.81,1
2023-06-26,8222,1.0,49.81,1
2023-06-27,12130,1.0,61.96,1
2023-06-27,12134,1.0,61.96,1
2023-06-27,17222,2.0,138.49,1
2023-06-27,17400,1.0,77.74,1
2023-06-27,17704,1.0,74.1,1
2023-06-27,2621,1.0,52.39,1
2023-06-27,44022,1.0,82.91,1
2023-06-27,4710,2.0,45.56,1
2023-06-27,8202,2.0,54.05,1
2023-06-27,8203,1.0,27.03,1
2023-06-27,8206,1.0,27.03,1
2023-06-28,12130,1.0,61.96,1
2023-06-28,12134,1.0,61.96,1
2023-06-28,12136,1.0,61.96,1
2023-06-28,13016,1.0,32.8,1
2023-06-28,15034,2.0,140.3,2
2023-06-28,17504,2.0,105.68,2
2023-06-28,3525,1.0,37.96,1
2023-06-28,3527,1.0,37.96,1
2023-06-28,4616,2.0,57.7,1
2023-06-28,8202,1.0,27.03,1
2023-06-29,12130,1.0,61.96,1
2023-06-29,12136,2.0,123.92,2
2023-06-29,17504,1.0,52.84,1
2023-06-29,17507,1.0,50.11,1
2023-06-29,20002,1.0,38.57,1
2023-06-29,3527,1.0,37.96,1
2023-06-29,44022,1.0,82.91,1
2023-06-29,4616,1.0,28.85,1
2023-06-29,4620,1.0,16.7,1
2023-06-29,8168,1.0,14.57,1
2023-06-29,8169,1.0,14.57,1
2023-06-29,8202,1.0,27.03,1
2023-06-29,8203,1.0,27.03,1
2023-06-29,8206,1.0,27.03,1
2023-06-29,8222,1.0,49.81,1
2023-07-03,17504,1.0,52.84,1
2023-07-03,17507,1.0,50.11,1
2023-07-03,26004,3.0,12.3,1
2023-07-03,26007,3.0,12.3,1
2023-07-03,26121,3.0,13.66,1
2023-07-03,26127,3.0,13.66,1
2023-07-03,3527,1.0,37.96,1
2023-07-03,44022,1.0,82.91,1
2023-07-03,4703,1.0,56.49,1
2023-07-04,12130,1.0,61.96,1
2023-07-04,12134,1.0,61.96,1
2023-07-04,12136,1.0,61.96,1
2023-07-04,15032,1.0,73.8,1
2023-07-04,17400,1.0,77.74,1
2023-07-04,17504,1.0,52.84,1
2023-07-04,2721,1.0,41.3,1
2023-07-04,44022,1.0,82.91,1
2023-07-04,8205,2.0,54.06,2
2023-07-05,12130,1.0,61.96,1
2023-07-05,8212,1.0,20.34,1
2023-07-05,8213,1.0,20.34,1
2023-07-05,8222,1.0,49.81,1
2023-07-06,17501,1.0,53.75,1
2023-07-06,26009,2.0,8.2,1
2023-07-06,44022,1.0,82.91,1
2023-07-09,17222,1.0,69.24,1
2023-07-09,17322,1.0,71.06,1
2023-07-09,17400,1.0,77.74,1
2023-07-09,17504,1.0,52.84,1
2023-07-10,12136,1.0,61.96,1
2023-07-10,15032,1.0,73.8,1
2023-07-10,17222,1.0,69.24,1
2023-07-10,17322,1.0,71.06,1
2023-07-10,17400,2.0,155.48,2
2023-07-10,17501,1.0,53.75,1
2023-07-10,17504,1.0,52.84,1
2023-07-10,17507,2.0,100.22,2
2023-07-10,17508,1.0,52.84,1
2023-07-10,20002,2.0,77.14,1
2023-07-10,2621,1.0,52.39,1
2023-07-10,4502,1.0,46.47,1
2023-07-10,4620,1.0,16.7,1
2023-07-10,8202,1.0,27.03,1
2023-07-11,12136,2.0,123.9,1
2023-07-12,12100,1.0,19.43,1
2023-07-12,12130,1.0,61.96,1
2023-07-12,12134,1.0,61.96,1
2023-07-12,12136,4.0,247.84,3
2023-07-12,15030,1.0,72.88,1
2023-07-12,15032,1.0,73.8,1
2023-07-12,15034,2.0,140.3,2
2023-07-12,17222,1.0,69.24,1
2023-07-12,17322,1.0,71.06,1
2023-07-12,17400,1.0,77.74,1
2023-07-12,17504,2.0,105.68,2
2023-07-12,17507,3.0,150.32999999999998,2
2023-07-12,17700,1.0,72.88,1
2023-07-12,18101,1.0,78.35,1
2023-07-12,26005,2.0,8.2,1
2023-07-12,26006,1.0,4.1,1
2023-07-12,26124,1.0,4.56,1
2023-07-12,26151,2.0,21.26,1
2023-07-12,44022,1.0,82.91,1
2023-07-12,4616,2.0,57.7,1
2023-07-12,4620,2.0,33.41,1
2023-07-12,8205,3.0,81.08,2
2023-07-12,8206,1.0,27.03,1
2023-07-12,8222,1.0,49.81,1
2023-07-14,12136,2.0,123.92,2
2023-07-14,14218,1.0,56.94,1
2023-07-14,15030,1.0,72.88,1
2023-07-14,15032,1.0,73.8,1
2023-07-14,15034,2.0,140.3,2
2023-07-14,17114,1.0,70.46,1
2023-07-14,17222,2.0,138.48,2
2023-07-14,17322,1.0,71.06,1
2023-07-14,17400,1.0,77.74,1
2023-07-14,17504,2.0,105.68,2
2023-07-14,17507,1.0,50.11,1
2023-07-14,3527,1.0,37.96,1
2023-07-14,44022,1.0,82.91,1
2023-07-14,4616,2.0,57.7,1
2023-07-14,4620,1.0,16.7,1
2023-07-14,8154,1.0,17.92,1
2023-07-17,17322,1.0,71.06,1
2023-07-17,17501,1.0,53.75,1
2023-07-17,17504,1.0,52.84,1
2023-07-17,20002,1.0,38.57,1
2023-07-17,26001,2.0,8.2,1
2023-07-17,26006,2.0,8.2,1
2023-07-17,44022,1.0,82.91,1
2023-07-17,44072,1.0,43.73,1
2023-07-17,4500,1.0,34.62,1
2023-07-17,8222,1.0,49.81,1
2023-07-20,12130,1.0,61.96,1
2023-07-20,15034,1.0,70.15,1
2023-07-20,3525,1.0,37.96,1
2023-07-20,8202,1.0,27.03,1
2023-07-21,4616,2.0,57.7,1
2023-07-21,8202,2.0,54.05,1
2023-07-24,17222,2.0,138.49,1
2023-07-24,17322,1.0,71.06,1
2023-07-24,17400,1.0,77.74,1
2023-07-24,18121,1.0,57.7,1
2023-07-24,20002,1.0,38.57,1
2023-07-24,4620,6.0,100.22,1
2023-07-24,7152,1.0,119.96,1
2023-07-24,7153,1.0,119.96,1
2023-07-24,8202,1.0,27.03,1
2023-07-24,9302,1.0,29.76,1
2023-07-25,12136,1.0,61.96,1
2023-07-25,15026,1.0,67.42,1
2023-07-25,17222,0.5,34.62,1
2023-07-25,17400,0.5,38.88,1
2023-07-25,17504,1.0,52.84,1
2023-07-26,12130,1.0,61.96,1
2023-07-26,12134,2.0,123.92,2
2023-07-26,12136,3.0,185.88,3
2023-07-26,14218,2.0,113.88,1
2023-07-26,15026,1.0,67.42,1
2023-07-26,15030,1.0,72.88,1
2023-07-26,15032,1.0,73.8,1
2023-07-26,15034,2.0,140.3,2
2023-07-26,17222,5.0,346.21,3
2023-07-26,17322,5.0,355.31,3
2023-07-26,17400,3.0,233.23000000000002,2
2023-07-26,17501,1.0,53.75,1
2023-07-26,17504,4.0,211.37,2
2023-07-26,17507,2.0,100.22,1
2023-07-26,17700,2.0,145.77,1
2023-07-26,17704,2.0,148.2,1
2023-07-26,44022,1.0,82.91,1
2023-07-26,4500,1.0,34.62,1
2023-07-26,4502,1.0,46.47,1
2023-07-26,4620,4.0,66.81,1
2023-07-26,8202,1.0,27.03,1
2023-07-26,8203,1.0,27.03,1
2023-07-26,8205,3.0,81.08,2
2023-07-26,8206,2.0,54.05,1
2023-07-28,45225,2.0,104.47,1
2023-07-29,17322,0.5,35.53,1
2023-07-29,17400,0.5,38.88,1
2023-07-29,44071,1.0,27.34,1
2023-07-30,45203,1.0,37.05,1
2023-07-30,45225,1.0,52.24,1
2023-07-31,12130,1.0,61.96,1
2023-07-31,12136,1.0,61.96,1
2023-07-31,17222,1.0,69.24,1
2023-07-31,17400,1.0,77.74,1
2023-07-31,17507,1.0,50.11,1
2023-07-31,18101,1.0,78.35,1
2023-07-31,3525,1.0,37.96,1
2023-07-31,3527,1.0,37.96,1
2023-07-31,45203,1.0,37.05,1
2023-07-31,45225,1.0,52.24,1
2023-07-31,8205,1.0,27.03,1
2023-07-31,8222,1.0,49.81,1
2023-08-01,12130,2.0,123.92,2
2023-08-01,12134,1.0,61.96,1
2023-08-01,12136,2.0,123.92,2
2023-08-01,15026,1.0,67.42,1
2023-08-01,15032,1.0,73.8,1
2023-08-01,15034,1.0,70.15,1
2023-08-01,17507,1.0,50.11,1
2023-08-01,2621,2.0,104.77,1
2023-08-01,8202,1.0,27.03,1
2023-08-01,8203,1.0,27.03,1
2023-08-01,8205,2.0,54.05,1
2023-08-01,8206,1.0,27.03,1
2023-08-01,8222,1.0,49.81,1
2023-08-02,15032,1.0,73.8,1
2023-08-02,44022,1.0,82.91,1
2023-08-02,4500,1.0,34.62,1
2023-08-02,8154,2.0,35.83,1
2023-08-02,8202,1.0,27.03,1
2023-08-03,12130,1.0,61.96,1
2023-08-03,12136,2.0,123.9,1
2023-08-03,17222,3.0,207.73000000000002,2
2023-08-03,17322,4.0,284.25,2
2023-08-03,17400,3.0,233.23000000000002,2
2023-08-03,17501,1.0,53.75,1
2023-08-03,17504,2.0,105.68,2
2023-08-03,44022,3.0,248.72,2
2023-08-03,8203,2.0,54.05,1
2023-08-03,8205,4.0,108.12,1
2023-08-03,8206,4.0,108.12,1
2023-08-05,12134,1.0,61.96,1
2023-08-05,17504,1.0,52.84,1
2023-08-05,17507,1.0,50.11,1
2023-08-05,17704,1.0,74.1,1
2023-08-05,4500,2.0,69.24,1
2023-08-05,4616,2.0,57.7,1
2023-08-05,8202,1.0,27.03,1
2023-08-05,8212,1.0,20.34,1
2023-08-05,8215,1.0,20.34,1
2023-08-07,12136,3.0,185.86,2
2023-08-07,14218,1.0,56.94,1
2023-08-07,15026,1.0,67.42,1
2023-08-07,15034,1.0,70.15,1
2023-08-07,17322,2.0,142.12,2
2023-08-07,17400,1.0,77.74,1
2023-08-07,17504,2.0,105.68,1
2023-08-07,17507,3.0,150.32999999999998,2
2023-08-07,17700,1.0,72.88,1
2023-08-07,20002,1.0,38.57,1
2023-08-07,2721,1.0,41.3,1
2023-08-07,44022,1.0,82.91,1
2023-08-07,4616,3.0,86.55,1
2023-08-09,12130,2.0,123.92,2
2023-08-09,15030,0.5,36.44,1
2023-08-09,15034,0.5,35.08,1
2023-08-09,17222,1.0,69.24,1
2023-08-09,17322,1.0,71.06,1
2023-08-09,44022,1.0,82.91,1
2023-08-09,8154,1.0,17.92,1
2023-08-11,17504,1.0,52.84,1
2023-08-11,17507,1.0,50.11,1
2023-08-11,44022,1.0,82.91,1
2023-08-14,15030,1.0,72.88,1
2023-08-14,15032,1.0,73.8,1
2023-08-14,17222,2.0,138.49,1
2023-08-14,4616,1.0,28.85,1
2023-08-14,4700,1.0,44.34,1
2023-08-14,6210,1.0,29.61,1
2023-08-14,8203,1.0,27.03,1
2023-08-14,8205,2.0,54.05,1
2023-08-15,12130,1.0,61.96,1
2023-08-15,12134,1.0,61.96,1
2023-08-15,12136,1.0,61.96,1
2023-08-15,15032,1.0,73.8,1
2023-08-15,15034,2.0,140.31,1
2023-08-15,17222,2.0,138.49,1
2023-08-15,17322,2.0,142.12,1
2023-08-15,17504,2.0,105.68,1
2023-08-15,17507,2.0,100.22,1
2023-08-15,17700,1.0,72.88,1
2023-08-15,18121,2.0,115.41,1
2023-08-15,26101,4.0,18.22,1
2023-08-15,26104,4.0,26.73,1
2023-08-15,44022,2.0,165.81,1
2023-08-15,4502,1.0,46.47,1
2023-08-15,4616,6.0,173.11,1
2023-08-15,8205,2.0,54.06,2
2023-08-15,8206,1.0,27.03,1
2023-08-16,12136,2.0,123.9,1
2023-08-16,14218,1.0,56.94,1
2023-08-16,17400,1.0,77.74,1
2023-08-16,17501,1.0,53.75,1
2023-08-16,17504,2.0,105.68,1
2023-08-16,17507,2.0,100.22,1
2023-08-16,44022,1.0,82.91,1
2023-08-17,12130,3.0,185.86,2
2023-08-17,12134,2.0,123.92,2
2023-08-17,12136,3.0,185.86,2
2023-08-17,15030,1.0,72.88,1
2023-08-17,15032,1.0,73.8,1
2023-08-17,15034,2.0,140.31,1
2023-08-17,17114,1.0,70.46,1
2023-08-17,17322,3.0,213.18,3
2023-08-17,17400,1.0,77.74,1
2023-08-17,17501,2.0,107.5,1
2023-08-17,17504,1.0,52.84,1
2023-08-17,17507,1.0,50.11,1
2023-08-17,17700,1.0,72.88,1
2023-08-17,17704,1.0,74.1,1
2023-08-17,44022,2.0,165.82,2
2023-08-17,4500,1.0,34.62,1
2023-08-17,8222,1.0,49.81,1
2023-08-18,12136,1.0,61.96,1
2023-08-18,17504,1.0,52.84,1
2023-08-18,18101,1.0,78.35,1
2023-08-18,44022,1.0,82.91,1
2023-08-18,4620,1.0,16.7,1
2023-08-18,8203,1.0,27.03,1
2023-08-18,8205,1.0,27.03,1
2023-08-21,12130,2.0,123.92,2
2023-08-21,12134,2.0,123.92,2
2023-08-21,12136,3.0,185.88,3
2023-08-21,14218,1.0,56.94,1
2023-08-21,15030,2.0,145.76,2
2023-08-21,17114,1.0,70.46,1
2023-08-21,17222,1.0,69.24,1
2023-08-21,17322,2.0,142.12,2
2023-08-21,17400,2.0,155.48,2
2023-08-21,17504,2.0,105.68,2
2023-08-21,17507,2.0,100.22,1
2023-08-21,17700,1.0,72.88,1
2023-08-21,44022,3.0,248.72,2
2023-08-21,4500,2.0,69.24,1
2023-08-21,8205,1.0,27.03,1
2023-08-23,12130,1.0,61.96,1
2023-08-23,12134,1.0,61.96,1
2023-08-23,12136,1.0,61.96,1
2023-08-23,15034,1.0,70.15,1
2023-08-23,17322,1.0,71.06,1
2023-08-23,17400,1.0,77.74,1
2023-08-23,17507,3.0,150.32999999999998,2
2023-08-23,44022,1.0,82.91,1
2023-08-23,45203,1.0,37.05,1
2023-08-23,4614,1.0,21.11,1
2023-08-23,8202,2.0,54.05,1
2023-08-23,8212,1.0,20.34,1
2023-08-23,8213,1.0,20.34,1
2023-08-25,12134,3.0,185.86,2
2023-08-25,12136,3.0,185.86,2
2023-08-25,14218,3.0,170.82,1
2023-08-25,15030,3.0,218.65,2
2023-08-25,15032,4.0,295.19,2
2023-08-25,15034,3.0,210.46,1
2023-08-25,17222,3.0,207.73,1
2023-08-25,17322,4.0,284.24,3
2023-08-25,17400,3.0,233.24,1
2023-08-25,17504,5.0,264.21000000000004,3
2023-08-25,17507,2.0,100.22,1
2023-08-25,44022,4.0,331.64,2
2023-08-25,44072,1.0,43.73,1
2023-08-25,4502,1.0,46.47,1
2023-08-25,4616,8.0,230.81,2
2023-08-25,8215,3.0,61.04,1
2023-08-25,8222,1.0,49.81,1
2023-08-27,17222,2.0,138.49,1
2023-08-27,17322,2.0,142.12,1
2023-08-27,17400,2.0,155.49,1
2023-08-27,17507,1.0,50.11,1
2023-08-27,44022,2.0,165.81,1
2023-08-27,8222,1.0,49.81,1
2023-08-28,12130,1.0,61.96,1
2023-08-28,17114,1.0,70.46,1
2023-08-28,17322,1.0,71.06,1
2023-08-28,3525,1.0,37.96,1
2023-08-28,44072,3.0,131.19,2
2023-08-29,12130,1.0,61.96,1
2023-08-29,12134,1.0,61.96,1
2023-08-29,12136,3.0,185.86,2
2023-08-29,15030,2.0,145.76,2
2023-08-29,15032,1.0,73.8,1
2023-08-29,15034,1.0,70.15,1
2023-08-29,17222,2.0,138.48,2
2023-08-29,17322,3.0,213.18,3
2023-08-29,17400,2.0,155.48,2
2023-08-29,17504,2.0,105.68,2
2023-08-29,17507,2.0,100.22,2
2023-08-29,26101,5.0,22.78,1
2023-08-29,26127,5.0,22.78,1
2023-08-29,2621,1.0,52.39,1
2023-08-29,44022,1.0,82.91,1
2023-08-29,44072,1.0,43.73,1
2023-08-29,45117,1.0,91.11,1
2023-08-29,4616,3.0,86.55000000000001,2
2023-08-29,8202,1.0,27.03,1
2023-08-29,8205,1.0,27.03,1
2023-08-29,8206,1.0,27.03,1
2023-08-29,8222,1.0,49.81,1
2023-08-30,14218,1.0,56.94,1
2023-08-30,15030,1.0,72.88,1
2023-08-30,15032,2.0,147.6,2
2023-08-30,17322,1.0,71.06,1
2023-08-30,17400,2.0,155.48,2
2023-08-30,17504,2.0,105.68,2
2023-08-30,17507,3.0,150.32999999999998,3
2023-08-30,17700,1.0,72.88,1
2023-08-30,44022,3.0,248.73,3
2023-08-30,4616,1.0,28.85,1
2023-08-30,8205,1.0,27.03,1
2023-08-30,8222,1.0,49.81,1
2023-09-01,12130,2.0,123.92,2
2023-09-01,12134,1.0,61.96,1
2023-09-01,15030,1.0,72.88,1
2023-09-01,17322,1.0,71.06,1
2023-09-01,17400,1.0,77.74,1
2023-09-01,17504,2.0,105.68,2
2023-09-01,17507,1.0,50.11,1
2023-09-04,12100,2.0,38.86,2
2023-09-04,15032,1.0,73.8,1
2023-09-04,15034,1.0,70.15,1
2023-09-04,17322,1.0,71.06,1
2023-09-04,17501,1.0,53.75,1
2023-09-04,17504,3.0,158.52,2
2023-09-04,17704,1.0,74.1,1
2023-09-04,2621,1.0,52.39,1
2023-09-04,2721,1.0,41.3,1
2023-09-04,44022,2.0,165.82,2
2023-09-04,4502,1.0,46.47,1
2023-09-04,4614,1.0,21.11,1
2023-09-04,9302,1.0,29.76,1
2023-09-06,12136,1.0,61.96,1
2023-09-06,17322,3.0,213.18,2
2023-09-06,17400,3.0,233.23000000000002,2
2023-09-06,3525,3.0,113.88,3
2023-09-06,45203,1.0,37.05,1
2023-09-07,12130,2.0,123.92,2
2023-09-07,12136,1.0,61.96,1
2023-09-07,17501,1.0,53.75,1
2023-09-07,17704,1.0,74.1,1
2023-09-07,4502,1.0,46.47,1
2023-09-07,8202,1.0,27.03,1
2023-09-07,8205,2.0,54.05,1
2023-09-07,8206,2.0,54.05,1
2023-09-08,12130,2.0,123.92,2
2023-09-08,12134,2.0,123.92,2
2023-09-08,12136,2.0,123.92,2
2023-09-08,17400,1.0,77.74,1
2023-09-08,45203,1.0,37.05,1
2023-09-11,12100,3.0,58.31,2
2023-09-11,12130,1.0,61.96,1
2023-09-11,12134,1.0,61.96,1
2023-09-11,12136,2.0,123.92,2
2023-09-11,14218,2.0,113.88,1
2023-09-11,15032,1.0,73.8,1
2023-09-11,15034,1.0,70.15,1
2023-09-11,17322,4.0,284.24,3
2023-09-11,17400,1.0,77.74,1
