codigo_producto,descripcion,daily_demand,dias_horizonte,unidades_en_inventario,unidades_en_riesgo_vencimiento,unidades_cubiertas_por_ofertas,unidades_a_pedir
26104,Bottle white/red 1000 ml,0.0,59,0.0,0.0,0.0,0
26107,Replacement Cap Bottles 500ml / 750ml,0.0,59,0.0,0.0,0.0,0
26004,Bottle transparent/red 500 ml,0.0,59,0.0,0.0,0.0,0
21008,Soft Flask 500ml,0.0,59,0.0,0.0,0.0,0
26007,Bottle red/silver 500 ml,0.0,59,0.0,0.0,0.0,0
17143,Liquid Energy Salty 40 x 35 g,0.0,59,0.0,0.0,0.0,0
17323,Liquid Energy Plus Cola-Lemon 20 x 70 g,0.0,59,0.0,0.0,0.0,0
17505,Mental Focus Grape-Cherry 5 x 25 ml,0.0,59,0.0,0.0,0.0,0
18100,Recovery Drink Strawberry-Banana 6 x 60,0.0,59,0.0,0.0,0.0,0
17508,Activator 200 Cola-Lemon 30 x 25 ml,0.0,59,0.0,0.0,0.0,0
26010,Bottle pink transparent/silver 500 ml,0.0,59,0.0,0.0,0.0,0
26093,Pro bottle 750 ml white/red,0.0,59,0.0,0.0,0.0,0
26006,Bottle silver/black 500 ml,0.0,59,0.0,0.0,0.0,0
26141,Bottle cyan blue/orange 750 ml,0.0,59,0.0,0.0,0.0,0
26127,Bottle transparent/red 750 ml,0.0,59,0.0,0.0,0.0,0
26151,Bottle transparent / Hockey Cap 1000 ml,0.0,59,0.0,0.0,0.0,0
44060,Protein 50 Chocolate 20 x 70 g,0.0,59,0.0,0.0,0.0,0
44031,Mass Gainer Vanilla 1200 g,0.0,59,0.0,0.0,0.0,0
44033,Mass Gainer Chocolate 1200 g,0.0,59,0.0,0.0,0.0,0
3527,Recovery Shake Vanilla 900 g,0.0,59,0.0,0.0,0.0,0
3525,Recovery Shake Banana 900 g,0.0,59,0.0,0.0,0.0,0
44017,Whey Isolate 94 Strawberry 1500 g,0.0,541,1.0,0.0,0.0,0
44018,Whey Isolate 94 Vanilla 1500 g,0.0,59,0.0,0.0,0.0,0
44019,Whey Isolate 94 Chocolate 1500 g,0.0,59,0.0,0.0,0.0,0
26121,Bottle red/silver 750 ml,0.0,59,0.0,0.0,0.0,0
45002,Basic Minerals Citrus 400 g,0.0,59,0.0,0.0,0.0,0
45120,Protein Low Carb Mocca White Choco 25 x 50 g,0.0,59,0.0,0.0,0.0,0
45215,MCT Oil Neutral 500 ml,0.0,59,0.0,0.0,0.0,0
4703,Long Energy Citrus 20 x 60 g,0.0,59,0.0,0.0,0.0,0
6307,BCAA 350 Caps,0.0,59,0.0,0.0,0.0,0
4710,Long Energy Fruit Mix 700 g,0.0,59,0.0,0.0,0.0,0
4708,Long Energy Citrus 700 g,0.0,59,0.0,0.0,0.0,0
7154,Whey Isolate 94 Chocolate 1500 g,0.0,59,0.0,0.0,0.0,0
7153,Whey Isolate 94 Vanilla 1500 g,0.0,59,0.0,0.0,0.0,0
7152,Whey Isolate 94 Strawberry 1500 g,0.0,59,0.0,0.0,0.0,0
7151,Whey Isolate 94 Banana 1500 g,0.0,59,0.0,0.0,0.0,0
6304,BCAA Instant Cola 200 g,0.0,59,0.0,0.0,0.0,0
7706,Vegan Protein Neutral 480 g,0.0,541,136.0,0.0,0.0,0
7716,Senior Protein Chocolate 455 g,0.0,158,1.0,0.0,0.0,0
8050,Isotonic Red Orange 500 g,0.0,59,0.0,0.0,0.0,0
8169,Competition Raspberry 400 g,0.0,59,0.0,0.0,0.0,0
8168,Competition Fruitmix 400 g,0.0,59,0.0,0.0,0.0,0
8166,Competition Citrus 400 g,0.0,59,0.0,0.0,0.0,0
8153,Isotonic Citrus 1000 g,0.0,59,0.0,0.0,0.0,0
7707,Vegan Protein Chocolate 480 g,0.0,541,3.0,0.0,0.0,0
8208,Tokyo Competition Orange 1000 g,0.0,59,0.0,0.0,0.0,0
8170,Competition Orange 500 g,0.0,59,0.0,0.0,0.0,0
8203,Competition Citrus 1000 g,0.0,541,24.0,0.0,0.0,0
