codigo_producto,descripcion,lote_id,cantidad,fecha_vencimiento
15041,Energy Balls Blueberry 18 x 45 g,L2778,3.0,2026-12-01
15043,Energy Balls Mango 18 x 45 g,L2780,5.73,2026-12-01
15045,Energy Balls Salted Caramel 18 x 45 g,L2708,6.0,2027-01-01
45207,Glucosamin Chondroitin 180 Tabs,L250909,6.0,2027-05-01
15030,High Energy Apricot-Vanilla 30 x 45 g,L0505655,2.0,2027-02-01
15034,High Energy Banana 30 x 45 g,L0511264,0.23,2026-11-01
15032,High Energy Berry 30 x 45 g,L0520511,9.0,2027-05-01
15026,High Energy Salty + Nuts 30 x 45 g,L5045-T,9.84,2026-11-01
44056,HMB & Creatine Synergy Pure 320 g,L250415A,10.0,2028-04-01
45203,Immunoguard Blackcurrant 10 x 4 g,L250604,25.0,2027-12-01
8118,Isotonic Fruitmix 1000 g,L260318,4.0,2028-01-01
8154,Isotonic Ice Tea 1000 g,L260413,8.0,2028-01-01
8143,Isotonic Peach 1000 g,L260216,5.0,2028-01-01
8123,Isotonic Red Orange 1000 g,L260311,5.0,2028-01-01
8029,Isotonic Red Orange 20 x 52 g,L1317755,6.5,2028-03-01
45225,Lactoferrin 90 Caps,L250512,3.0,2027-04-01
6210,L-Glutamine 350 g,L250217,17.0,2027-05-01
12125,Lipox Burner Raspberry 110 g,L250516,15.0,2027-05-01
17400,Liquid Energy BCAA Strawberry Banana 18 x 70 g,L510574,17.44,2026-12-01
17322,Liquid Energy Plus 18 x 70 g,L257027-7,24.5,2027-03-01
17114,Liquid Energy Plus 40 x 35 g,L2023542983,12.0,2027-07-01
17222,Liquid Energy Pure 18 x 70 g,L025620505827,13.5,
4700,Long Energy Berry 1000 g,L260323,7.0,2028-03-01
12121,Low Carb Burner Wild Berries 20 x 6g,L250522,17.0,2027-05-01
17507,Magnesium 375 Exotic 30 x 25 ml,L49/6396,50.0,2027-04-01
12100,Magnesium Plus Fruitmix 20 x 6.5 g,L250128/02,9.0,2027-01-01
45003,Mental Focus Herbs Berries 150 gr,L240314,35.0,2026-08-01
4620,Muscle Relax 4 x 30 ml,L102501,65.7,2028-01-01
44072,Nitroflow Performance 10 x 7 g,L240815,1.0,2026-08-01
14218,Oat Pack Creamy Caramel 25 x 50 g,L5191-01,9.0,2027-01-01
45212,Omega-3 Plus Citrus 150 ml,L6991-A1,1.0,2026-07-01
17704,Power Gums Cola 20 x 75 g,L257022,4.45,2026-12-01
17700,Power Gums Fruitmix 20 x 75 g,L25002,12.0,2027-01-01
17706,Power Gums Sour 20 x 75 g,L25B042,3.2,2027-05-01
82080,Premium Plant Protein Vanille 455 g,L241021,1.0,2026-10-01
44068,Protein Cookie Dough 20 x 50 gr,L170087,6.0,2027-02-01
45117,Protein Low Carb Choco Brownie 25 x 50 g,L5155-T,4.0,2026-09-01
18121,Recovery Drink Strawberry-Banana 1200 g,L260123,4.0,2027-06-01
18101,Recovery Drink Strawberry-Banana 20 x 60 g,L1004144317,7.7,2027-07-01
44071,Red Beet Vinitrox 4 x 60 ml,L30/6528,24.0,2027-01-01
45005,Relax & Recover Orange-Peach 120g,L250408,45.0,2027-03-01
4616,Salt Caps 120 Caps,L250902,29.0,2027-05-01
7716,Senior Protein Chocolate 455 g,L250106,1.0,2026-11-01
7715,Senior Protein Orange-Yoghurt 455 g,L240530,1.0,2026-12-01
1309,Sport Biotics 90 caps,L251008,270.0,2027-05-01
8219,Ultra competition Neutral 800 GR,L260304,9.0,2028-02-01
7707,Vegan Protein Chocolate 480 g,L260113,3.0,2027-12-01
7706,Vegan Protein Neutral 480 g,L260402,136.0,2028-03-01
7013,Whey Isolate 94 Banana 425,L251215,1.0,2027-11-01
7014,Whey Isolate 94 Caffe Latte 425 g,L260420,4.0,2028-04-01
7003,Whey Isolate 94 Chocolate 425 g,L260115,4.0,2027-12-01
7011,Whey Isolate 94 Cookies and Cream 425 g,L250703,1.0,2027-06-01
44017,Whey Isolate 94 Strawberry 1500 g,L260206,1.0,2028-01-01
7001,Whey Isolate 94 Strawberry 425 g,L260206,4.0,2028-01-01
7002,Whey Isolate 94 Vanilla 425 g,L260205,3.0,2028-01-01
17504,Activator 200 Fruit Boost 30 x 25 ml,l609001,36.0,2027-02-01
4502,Carbo Loader Citrus-Orange 15 x 75 g,L901272,20.0,2028-09-01
7162,Clear Iso Whey Watermelon 450gr,L260429,8.0,2028-04-01
45230,Collagen Hydrolsate Neutral 300 gr,L260212,12.0,2027-11-01
15030,High Energy Apricot-Vanilla 30 x 45 g,L05263,13.0,2026-11-01
15034,High Energy Banana 30 x 45 g,L0516098,21.0,2027-02-01
15026,High Energy Salty + Nuts 30 x 45 g,L5190-T,6.0,2026-10-01
45225,Lactoferrin 90 Caps,L260211,270.0,2028-02-01
17400,Liquid Energy BCAA Strawberry Banana 18 x 70 g,L025620513,64.0,2027-05-01
17322,Liquid Energy Plus 18 x 70 g,L263017-5,12.0,2027-11-01
17222,Liquid Energy Pure 18 x 70 g,L025620505,36.0,2027-08-01
44072,Nitroflow Performance 10 x 7 g,L250306,30.0,2027-03-01
45212,Omega-3 Plus Citrus 150 ml,L7929A1,269.0,2028-05-01
17704,Power Gums Cola 20 x 75 g,L263020,6.0,2027-09-01
18121,Recovery Drink Strawberry-Banana 1200 g,L260427,12.0,2027-09-01
45005,Relax & Recover Orange-Peach 120g,L260325,270.0,2028-02-01
4616,Salt Caps 120 Caps,L260223,15.0,2027-12-01
7715,Senior Protein Orange-Yoghurt 455 g,L251119,8.0,2027-11-01
1309,Sport Biotics 90 caps,L250327,4.0,2026-11-01
7013,Whey Isolate 94 Banana 425,L260421,4.0,2028-03-01
7001,Whey Isolate 94 Strawberry 425 g,L260420,4.0,2028-03-01
