codigo_producto,descripcion,tiene_imagen,archivos_imagen,sku_actual,nota
4620,Muscle Relax 4 x 30 ml,SI,04620_1.png;04620_2.png,,
4622,BICARB CAPS 300,SI,04622_1.png;04622_2.png,,
4700,Long Energy Berry 1000 g,SI,4700.png,04717,match manual: Long Energy Berry 1000g -> match directo
4703,,NO,,,
4706,,NO,,,
4708,,NO,,,
4710,,NO,,,
6153,Beta Alanine 140 Tabs,SI,06153.png,,
6210,L-Glutamine 350 g,SI,06210_1.png;06210_2.png,,
6304,,SI,06304.png,,
6307,,SI,06307.png,,
7002,Whey Isolate 94 Vanilla 425 g,SI,07002_1.png,,
7151,,SI,07151_2.png,,
7152,,SI,07152_2.png,,
7153,,SI,07153_3.png,,
7154,,SI,07003_2.jpg;07154_4.png,,
7160,Clear Iso Whey Blueberry 450 gr,SI,07160.png,,
7161,Clear Iso Whey Orange-Yuzu 450gr,SI,07161.png,,
7162,Clear Iso Whey Watermelon 450gr,SI,07162_1.png;07162_2.jpg,,
7706,Vegan Protein Neutral 480 g,SI,07706.png,,
7707,Vegan Protein Chocolate 480 g,SI,07707_1.png;07707_2.jpg,,
7715,Senior Protein Orange-Yoghurt 455 g,SI,07715.png,,
7716,Senior Protein Chocolate 455 g,SI,07716.png,,
8029,Isotonic Red Orange 20 x 52 g,SI,08029_4.png,,
8050,,NO,,,
8118,Isotonic Fruitmix 1000 g,SI,08118_1.png,,
8123,Isotonic Red Orange 1000 g,SI,08123_1.png,,
8143,Isotonic Peach 1000 g,SI,08143_1.png,,
8153,,SI,08153_1.png,,
8154,Isotonic Ice Tea 1000 g,SI,08154_1.png,,
8166,,NO,,,
8168,,NO,,,
8169,,NO,,,
8170,,NO,,,
8202,Competition Orange 1000 g,SI,08202_1.png;08202_2.jpg,,
8203,Competition Citrus 1000 g,SI,08203_1.png,,
8205,Competition Raspberry 1000 g,SI,08205_1.png,,
8206,Competition Fruitmix 1000 g,SI,08206_1.png,,
8207,Competition Cool Mint 1000 g,SI,08207_1.png,,
8208,,NO,,,
82080,Premium Plant Protein Vanille 455 g,SI,82080.png,07709,match manual: Premium Plant Protein Vanille 455g -> match directo
8210,,NO,,,
8212,Competition Orange 800 g,SI,08202_2.jpg;08212_3.png,,
8213,,SI,08213_2.png,,
8215,Competition Raspberry 800 g,SI,08215_2.png,,
8216,Competition Fruitmix 800 g,SI,08206_1.png;08216_2.png,,
8217,Competition Cool Mint 800 g,SI,08217_2.png,,
8222,Competition Orange 20 x 60 g,SI,08202_2.jpg;08222_5.png,,
8225,Carbo Fuel Blackcurrant 1000 g,SI,08225_3.png,,
9302,,NO,,,
